State,Year,Percentage With Mental Distress,Total Number of Survey Respondents
Alabama,2015,19.34%,"698,000"
Vermont,2015,19.39%,"96,000"
District of Columbia,2015,19.44%,"99,000"
Kentucky,2015,19.47%,"635,000"
South Carolina,2015,19.56%,"688,000"
New Mexico,2015,19.59%,"300,000"
Wyoming,2015,19.60%,"84,000"
Ohio,2015,19.64%,"1,709,000"
Arkansas,2015,19.81%,"432,000"
Michigan,2015,19.81%,"1,484,000"
Indiana,2015,19.87%,"961,000"
Maine,2015,20.05%,"210,000"
Tennessee,2015,20.25%,"979,000"
Mississippi,2015,20.27%,"439,000"
Idaho,2015,20.58%,"235,000"
Washington,2015,20.77%,"1,074,000"
Oregon,2015,20.89%,"624,000"
West Virginia,2015,21.38%,"308,000"
Oklahoma,2015,21.88%,"609,000"
Utah,2015,22.35%,"431,000"
