"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"08047","Gilpin County, CO",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"08051","Gunnison County, CO",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"08057","Jackson County, CO",".",".","15","2","0.07","0.063",".",".",".",".",".","30","7","."
"08059","Jefferson County, CO",".",".","32","3","0.1","0.077",".",".",".",".",".",".",".","."
"08067","La Plata County, CO","2.9","0.7",".","4","0.08","0.067",".",".",".",".",".",".",".","."
"08069","Larimer County, CO","1.6","1.1",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"08077","Mesa County, CO",".",".",".",".","0.07","0.061",".",".",".","10","4.4","37","16","."
"08083","Montezuma County, CO",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"08093","Park County, CO",".",".",".",".","0.08",".",".",".",".",".",".",".",".","."
"08097","Pitkin County, CO",".",".",".",".",".",".",".",".",".",".",".","50","16","."
"08101","Pueblo County, CO",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"08103","Rio Blanco County, CO",".",".","3","1","0.08","0.071",".",".",".",".",".",".",".","."
"08123","Weld County, CO","1.1","0.7","47","7","0.08","0.068",".",".",".","23","7.7",".",".","."
"09001","Fairfield County, CT",".",".","47","9","0.1","0.082","4","1","0","28","9.4","106","16","."
"09003","Hartford County, CT","2.6","1.1","46","13","0.09","0.073",".",".",".","25","8.6","84","15","."
"09005","Litchfield County, CT","3.2","0.8",".",".","0.08","0.076","1","1","0","21","5.1",".",".","."
"09007","Middlesex County, CT",".",".",".",".","0.09","0.075",".",".",".",".",".",".",".","."
"09009","New Haven County, CT","2.2","1.2","50","11","0.09","0.078","2","1","0","27","9.6","34","13","."
"09011","New London County, CT",".",".",".",".","0.08","0.073",".",".",".","25","7.9",".",".","."
"09013","Tolland County, CT",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"09015","Windham County, CT",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"10001","Kent County, DE",".",".",".",".","0.08","0.069",".",".",".","28","8.9",".",".","."
"10003","New Castle County, DE",".",".",".",".","0.09","0.072","6","2","0","29","11",".",".","."
"10005","Sussex County, DE",".",".",".",".","0.08","0.068",".",".",".","30","10.2",".",".","."
"11001","District of Columbia","1.8","1.6","46","15","0.1","0.076","3","1","0","81","9.9","142","18","."
"12001","Alachua County, FL",".",".",".",".","0.07","0.058",".",".",".","21","7.8",".",".","."
"12003","Baker County, FL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"12005","Bay County, FL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"12009","Brevard County, FL",".",".",".",".","0.07","0.064",".",".",".","15","7.2","58","15","."
"12011","Broward County, FL","2.5","1.6","45","15","0.07","0.06","2","1","1","25","10.1","64","21","."
"12017","Citrus County, FL",".",".",".",".",".",".","22","3","1",".",".",".",".","."
"12021","Collier County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12023","Columbia County, FL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"12031","Duval County, FL","1.5","1.3","40","10","0.07","0.062","5","2","1","21","8.5","55","20","."
"12033","Escambia County, FL",".",".",".",".","0.08","0.066","7","3","1","22","10.2","56","19","."
"12035","Flagler County, FL",".",".",".",".","0.06","0.059",".",".",".",".",".",".",".","."
"12047","Hamilton County, FL",".",".",".",".",".",".","10","3","1",".",".",".",".","."
"12055","Highlands County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12057","Hillsborough County, FL","1.6","0.8","36","9","0.08","0.069","48","12","2","17","8.7","54","21","0.05"
"12059","Holmes County, FL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"12061","Indian River County, FL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"12069","Lake County, FL",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"12071","Lee County, FL",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"12073","Leon County, FL",".",".",".",".","0.08","0.059",".",".",".","38","8.3",".",".","."
"12077","Liberty County, FL",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"12081","Manatee County, FL",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"12083","Marion County, FL",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12085","Martin County, FL",".",".",".",".","0.06","0.057",".",".",".","16","7.4","70","17","."
"12086","Miami-Dade County, FL","1.6","1","53","14","0.08","0.066","1","1","0","17","8.3","65","22","."
"12089","Nassau County, FL",".",".",".",".",".",".","40","10","2",".",".",".",".","."
"12095","Orange County, FL","2.5","1.1",".",".","0.08","0.069","4","2","0","16","7.8","54","16","."
"12097","Osceola County, FL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"12099","Palm Beach County, FL",".",".",".",".","0.07","0.057",".",".",".","17","7.6","62","18","."
"12101","Pasco County, FL",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"12103","Pinellas County, FL","1.1","0.7","27","7","0.08","0.067","8","3","1","17","8.2","59","22","."
"12105","Polk County, FL",".",".",".",".","0.08","0.066","15","3","1",".",".",".",".","."
"12107","Putnam County, FL",".",".",".",".",".",".",".",".",".",".",".","53","20","."
"12111","St. Lucie County, FL",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"12113","Santa Rosa County, FL",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"12115","Sarasota County, FL",".",".",".",".","0.08","0.066",".",".",".","16","7.6","53","18","."
"12117","Seminole County, FL",".",".",".",".","0.07","0.063",".",".",".","17","7.1","42","13","."
"12127","Volusia County, FL",".",".",".",".","0.06","0.058",".",".",".","19","8.2","54","18","."
"12129","Wakulla County, FL","1.1","0.8",".",".","0.06","0.057","2","1","1",".",".",".",".","."
"13021","Bibb County, GA",".",".",".",".","0.08","0.068","3","2","1","29","10.1",".",".","."
"13051","Chatham County, GA",".",".",".",".","0.07","0.061","44","14","2","24","9.5",".",".","."
"13055","Chattooga County, GA",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"13059","Clarke County, GA",".",".",".",".","0.08","0.068",".",".",".","28","10.6",".",".","."
"13063","Clayton County, GA",".",".",".",".",".",".",".",".",".","22","9.7",".",".","."
"13067","Cobb County, GA",".",".",".",".","0.08","0.064",".",".",".","26","9.8",".",".","."
"13069","Coffee County, GA",".",".",".",".",".",".",".",".",".","19","7.8",".",".","."
"13073","Columbia County, GA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"13085","Dawson County, GA",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"13089","DeKalb County, GA","1.2","1.1","48","15","0.09","0.071","2","1","0","31","10.6","60","19","."
"13095","Dougherty County, GA",".",".",".",".",".",".",".",".",".","32","11.4",".",".","."
"13097","Douglas County, GA",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"13121","Fulton County, GA","1.8","1.6","45","15","0.1","0.077","5","3","2","24","10.6","52","19","."
"13127","Glynn County, GA",".",".",".",".","0.07","0.058",".",".",".","22","8.6",".",".","."
"13135","Gwinnett County, GA",".",".",".",".","0.09","0.075",".",".",".","29","10.4",".",".","."
"13139","Hall County, GA",".",".",".",".",".",".",".",".",".","28","10.8",".",".","."
"13151","Henry County, GA",".",".",".",".","0.08","0.072",".",".",".",".",".",".",".","."
"13153","Houston County, GA",".",".",".",".",".",".",".",".",".","24","10.1",".",".","."
"13185","Lowndes County, GA",".",".",".",".",".",".",".",".",".","26","10.3",".",".","."
"13213","Murray County, GA",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"13215","Muscogee County, GA",".",".",".",".","0.08","0.064",".",".",".","27","10.5",".",".","."
"13231","Pike County, GA",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"13245","Richmond County, GA",".",".",".",".","0.07","0.063","44","7","1","26","10.5","47","18","."
"13247","Rockdale County, GA",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"13261","Sumter County, GA",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"13295","Walker County, GA",".",".",".",".",".",".",".",".",".","31","12.1",".",".","."
"13303","Washington County, GA",".",".",".",".",".",".",".",".",".","30","10.9",".",".","."
"15001","Hawaii County, HI",".",".",".",".",".",".","236","54","4","12","3.6",".",".","."
"15003","Honolulu County, HI","5.6","0.4","23","3","0.05","0.046","60","9","1","10","4.2","28","12","."
"15009","Maui County, HI",".",".",".",".",".",".",".",".",".","8","4",".",".","."
"16001","Ada County, ID","0.9","0.6","38","8","0.08","0.066","3","1","0",".",".","61","19","."
"16005","Bannock County, ID",".",".",".",".","0.06","0.057","42","13","3",".",".","98","18","."
"16009","Benewah County, ID",".",".",".",".",".",".",".",".",".","29","9.4",".",".","."
"16023","Butte County, ID",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"16029","Caribou County, ID",".",".",".",".",".",".","43","14","2",".",".",".",".","."
"16041","Franklin County, ID",".",".",".",".",".",".",".",".",".","24","6.3",".",".","."
"16049","Idaho County, ID",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"16059","Lemhi County, ID",".",".",".",".",".",".",".",".",".","26","7.5",".",".","."
"16079","Shoshone County, ID",".",".",".",".",".",".",".",".",".","30","9.9","76","15","."
"17001","Adams County, IL",".",".",".",".","0.08","0.076",".",".",".",".",".",".",".","."
"17019","Champaign County, IL","1.5","1.4",".",".","0.08","0.077","3","2","0","24","9.7",".",".","."
"17023","Clark County, IL",".",".",".",".","0.08","0.075",".",".",".",".",".",".",".","."
"17031","Cook County, IL","3","1.4","54","17","0.11","0.086","11","4","2","55","12.3","137","32","0.02"
"17043","DuPage County, IL",".",".",".",".","0.1","0.082",".",".",".","29","11.8",".",".","."
"17049","Effingham County, IL",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"17065","Hamilton County, IL",".",".",".",".","0.08","0.074",".",".",".","24","9.4",".",".","."
"17083","Jersey County, IL",".",".",".",".","0.09","0.082",".",".",".","23","9.3",".",".","."
"17085","Jo Daviess County, IL",".",".",".",".","0.08","0.076",".",".",".",".",".",".",".","."
"17089","Kane County, IL",".",".",".",".","0.09","0.084",".",".",".","26","10.2",".",".","."
"17097","Lake County, IL",".",".",".",".","0.1","0.081",".",".",".",".",".",".",".","."
"17099","La Salle County, IL",".",".",".",".",".",".","16","3","0",".",".",".",".","."
"17111","McHenry County, IL",".",".",".",".","0.1","0.084",".",".",".","31","10.6",".",".","."
"17113","McLean County, IL",".",".",".",".","0.08","0.077",".",".",".","28","11",".",".","."
"17115","Macon County, IL",".",".",".",".","0.09","0.079","66","23","2","27","10.9",".",".","."
"17117","Macoupin County, IL",".",".","15","2","0.08","0.075","3","2","1",".",".",".",".","."
"17119","Madison County, IL",".",".",".",".","0.09","0.078","14","5","1","22","11","53","27","0.03"
"17133","Monroe County, IL",".",".",".",".",".",".","6","1","0",".",".",".",".","."
"17143","Peoria County, IL",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"17157","Randolph County, IL",".",".",".",".","0.09","0.08",".",".",".","22","8.7",".",".","."
"17161","Rock Island County, IL",".",".",".",".","0.09","0.079",".",".",".","29","11.2",".",".","."
"17163","Saint Clair County, IL",".",".","38","8","0.09","0.077","11","3","1","26","11.6",".",".","."
"17167","Sangamon County, IL",".",".",".",".","0.09","0.077",".",".",".","23","10.4",".",".","."
"17179","Tazewell County, IL",".",".",".",".",".",".","5","1","0",".",".",".",".","."
"17185","Wabash County, IL",".",".",".",".",".",".","10","4","1",".",".",".",".","."
"17197","Will County, IL",".",".",".",".","0.09","0.08",".",".",".","32","11.9",".",".","."
"17201","Winnebago County, IL",".",".",".",".","0.09","0.08",".",".",".","36","11.5",".",".","."
"18003","Allen County, IN",".",".",".",".","0.09","0.075",".",".",".",".",".",".",".","."
"18005","Bartholomew County, IN",".",".",".",".","0.08","0.076",".",".",".","24","8.4",".",".","."
"18011","Boone County, IN",".",".",".",".","0.11","0.076",".",".",".",".",".",".",".","."
"18013","Brown County, IN",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"18015","Carroll County, IN",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"18019","Clark County, IN",".",".",".",".","0.09","0.072",".",".",".","35","11.5","42","20","."
"18035","Delaware County, IN",".",".",".",".","0.08","0.071",".",".",".","25","8.3",".",".","0.03"
"18037","Dubois County, IN",".",".",".",".",".",".",".",".",".","19","8.1",".",".","."
"18039","Elkhart County, IN",".",".",".",".","0.08","0.071",".",".",".","30","9.4",".",".","."
"18043","Floyd County, IN",".",".",".",".","0.09","0.071","5","2","1","32","9.8",".",".","."
"18051","Gibson County, IN",".",".",".",".",".",".","22","5","1",".",".",".",".","."
"18055","Greene County, IN",".",".",".",".","0.08","0.077",".",".",".","21","7.7",".",".","."
"18057","Hamilton County, IN",".",".",".",".","0.08","0.072",".",".",".","35","9.9",".",".","."
"18063","Hendricks County, IN",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"18065","Henry County, IN",".",".",".",".",".",".",".",".",".","23","7.9",".",".","."
"18067","Howard County, IN",".",".",".",".","0.08","0.074",".",".",".","25","8.6",".",".","."
"18083","Knox County, IN",".",".",".",".","0.08","0.075",".",".",".",".",".",".",".","."
"18089","Lake County, IN",".",".","44","7","0.09","0.076","24","9","1","34","12.5","101","27","0.1"
"18091","LaPorte County, IN",".",".",".",".","0.09","0.077",".",".",".","20","8.7",".",".","."
"18095","Madison County, IN",".",".",".",".","0.08","0.073",".",".",".","39","10.5",".",".","."
"18097","Marion County, IN","2.1","1.6","44","13","0.09","0.077","3","1","0","46","15.1","147","35","."
"18105","Monroe County, IN",".",".",".",".",".",".",".",".",".","30","9.1",".",".","."
"18123","Perry County, IN",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"18127","Porter County, IN",".",".",".",".","0.09","0.077","79","15","1","31","9.7","103","22","."
"18129","Posey County, IN",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"18141","St. Joseph County, IN",".",".","30","4","0.08","0.073",".",".",".","32","11.3",".",".","."
"18145","Shelby County, IN",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"18147","Spencer County, IN",".",".",".",".",".",".",".",".",".","20","8.7",".",".","."
"18157","Tippecanoe County, IN",".",".",".",".",".",".",".",".",".","26","9.2",".",".","."
"18163","Vanderburgh County, IN","1.3","1","25","3","0.08","0.075","7","1","0","27","10.6","53","19","."
"18167","Vigo County, IN",".",".",".",".","0.08","0.072","4","3","1","27","10.5",".",".","."
"18169","Wabash County, IN",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"18173","Warrick County, IN",".",".",".",".","0.08","0.074","20","4","1",".",".",".",".","."
"18183","Whitley County, IN",".",".",".",".",".",".",".",".",".","34","10.9",".",".","."
"19013","Black Hawk County, IA",".",".",".",".",".",".",".",".",".","25","9.5",".",".","."
"19017","Bremer County, IA",".",".",".",".","0.09","0.079",".",".",".",".",".",".",".","."
"19045","Clinton County, IA",".",".",".",".","0.09","0.078","17","7","1","33","12.4",".",".","."
"19085","Harrison County, IA",".",".",".",".","0.09","0.077",".",".",".",".",".",".",".","."
"19103","Johnson County, IA",".",".",".",".",".",".",".",".",".","29","12.2",".",".","."
"19113","Linn County, IA",".",".",".",".","0.09","0.08","10","2","0","27","12.6","68","24","."
"19137","Montgomery County, IA",".",".",".",".","0.08","0.074",".",".",".","20","8.1",".",".","."
"19139","Muscatine County, IA",".",".",".",".",".",".","9","3","1","24","10",".",".","."
"19147","Palo Alto County, IA",".",".",".",".","0.08","0.075",".",".",".","25","8.9",".",".","."
"19153","Polk County, IA",".",".",".",".","0.08","0.077",".",".",".","31","10.6","56","23","."
"19155","Pottawattamie County, IA",".",".",".",".",".",".",".",".",".","33","9.7",".",".","0.06"
"19163","Scott County, IA","1.3","1.1",".",".","0.08","0.08","4","1","0","27","11.4","109","36","."
"19177","Van Buren County, IA",".",".","7","2","0.08","0.069","3","1","0","18","8","48","16","."
"19193","Woodbury County, IA",".",".",".",".",".",".",".",".",".","28","9.7",".",".","."
"20091","Johnson County, KS",".",".",".",".","0.1","0.073",".",".",".","23","9.5","256","24","."
"20103","Leavenworth County, KS",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"20133","Neosho County, KS",".",".","16","2","0.07","0.067",".",".",".","25","11.1","94","29","."
"20169","Saline County, KS",".",".",".",".",".",".",".",".",".",".",".",".",".","0.03"
"20173","Sedgwick County, KS",".",".",".","6","0.09","0.068",".",".",".",".",".",".",".","."
"20177","Shawnee County, KS",".",".",".",".","0.09","0.074",".",".",".","23","9.7","108","23","."
"20181","Sherman County, KS",".",".",".",".",".",".",".",".",".",".",".","99","22","."
"20191","Sumner County, KS",".",".","23","3","0.08","0.067","2","1","0",".",".",".",".","."
"20195","Trego County, KS",".",".","8","2","0.08","0.069","2","2","0","21","8.4","88","21","."
"20209","Wyandotte County, KS","0.9","0.6","43","9","0.09","0.077",".",".",".","27","10.4","75","25","."
"21013","Bell County, KY",".",".",".",".","0.07","0.061",".",".",".","26","10.3",".",".","."
"21015","Boone County, KY",".",".",".",".","0.1","0.077",".",".",".",".",".",".",".","."
"21019","Boyd County, KY",".",".","29","5","0.07","0.065","5","2","0","28","9.1","67","27","."
"21029","Bullitt County, KY",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
