Primary Applicant,Project State(s),Proposed EPA Funding,Project Description
Connecticut Department of Public Health,CT,"$500,000 ",Recipient will establish a network of low-cost air sensors to provide real- time measurements of pollutants in environmental justice communities and provide training modules and an education and outreach campaign for community members to lead long-term air sensor network operation. Recipient will create a digital dashboard that will provide information about the effects of poor air quality days on health and link to existing programs to support community health.
"Government of the District of Columbia, DOEE",DC,"$500,000 ","Recipient will install air quality monitors in overburdened communities to monitor air pollutants, empower families living in neighborhoods historically overburdened by air quality to share their stories of environmental injustice, and map new data sources (along with existing air quality data) in an online tool."
Community Housing and Empowerment Connections Inc.,DE,"$357,852 ","Recipient will utilize a collaborative process that engages residents in the development of a community air monitoring network that achieves community priorities while supporting research, public policy and improved health outcomes in New Castle County, Delaware."
"Socially Responsible Agriculture Project
(Application withdrawn)","DE, MD","$495,328 ",Recipient will conduct ambient air data collection of industrial poultry pollution and its effects on public health and the environment in three Delaware and Maryland communities experiencing environmental injustices. Information gathered will help create community-oriented solutions to improve public health outcomes for every stakeholder in the community.
Hillsborough County Metropolitan Planning Organization,FL,"$388,375 ","Recipient will create an air quality monitoring network along I-275 and I-4 focusing on communities of concern to provide data-based information for future project planning. The project will measure known health-impacting air pollutants from vehicular traffic with the intent for community members and school children to learn, participate and help report about localized air quality."
"Miami-Dade County Department of Regulatory & Economic Resources, Office of Resilience",FL,"$499,988 ","Recipient will expand and strengthen partnerships, engage community members in design and performance assessment of a new clean air community partnership program, What’s   your 305 Air Quality?, to ensure that environmental justice communities are included to help guide equitable and effective air quality mitigation actions."
"National Coalition of 100 Black
Women - Central Florida Chapter, Inc.",FL,"$440,000 ","Recipient will create a Community Air Quality Advisory Council (Council) comprised of representatives from underserved communities in Orange County, FL that is informed by Community Science Air Quality Monitoring. Recipient will create a monitoring network in underserved communities and will provide technical and policy support to council participants."
Center for Sustainable Communities,GA,"$498,401 ","Recipient will deploy air sensors in 11 minority communities, located in the region of South Atlanta, Georgia, where there is concern over potential health impacts due to the proximity of these neighborhoods to heavily traveled transportation corridors, and for which there is no existing air quality monitoring capability. The objective is to empower under-resourced communities to collect, analyze, and use the data to draw conclusions related to the causes and effects of air quality."
"Environmental Community Action, Inc.",GA,"$475,912 ","Recipient will install 7 air quality monitors, collect air samples, share sample data and train residents in five underserved communities so they can advance their advocacy efforts to address longstanding air quality problems where they live. The communities will develop specific strategies to reduce the effects of air pollutants on their health and will gain awareness of the risks associated with air pollutants in their communities."
Ecology Action Center,IL,"$440,485 ",Recipient will use air quality monitors to increase understanding of the relationship between local air quality and public health. Collaborative efforts to improve air quality and build partnerships will provide real-time air quality data to communities through educational programs.
"Lake County Environmental Works
(Application withdrawn)",IL,"$270,350 ","Recipient will lead air testing for ethylene oxide to address issues, including cancer risks associated with elevated ethylene oxide levels, for the community and demonstrate a methodology for other communities."
"Warehouse
Workers' Justice Center",IL,"$456,170 ","Recipient will conduct community-organized air quality testing in areas with high levels of air pollution in Will County, IL. The project will generate data on air pollution in low-income, majority-minority neighborhoods near the United States’ largest inland port and will engage community members in planning and decision making around local air quality."
Hispanic Access Foundation,"IL, TX, CA, ID, NV","$499,922 ",Recipient will establish El Aire Que Respiramos (the Air We Breathe) Latino Citizen Science Project to measure air pollutants at 12 heavily populated Latino sites across the country. The project will raise awareness and improve understanding of air pollution in these communities and will empower these communities to make adjustments in their daily lives and to advocate for change as needed.
East Chicago Calumet Coalition Community Advisory Group Inc.,IN,"$200,000 ","Recipient will provide a data-supported picture of air pollutants affecting the community in East Chicago, including impacts from episodic pollution events. Data will help identify and attribute pollution to sources and provide a basis for any future actions that may be required to reduce pollution affecting the East Chicago community, including through advocacy."
Appalachian Voices,"KY, PA, TN, VA, WV","$118,297 ",Recipient will deploy air quality monitors in Environmental Justice communities across participating states. Recipient will analyze collected air quality data and will make the data publicly available to foster community engagement in local and regional air quality issues.
Deep South Center for Environmental Justice Inc.,LA,"$498,911 ","Recipient will build capacity of local environmental justice community groups to monitor their air quality, engage with stakeholders, and become more active and effective in civic engagement."
Louisiana Department of Environmental Quality,LA,"$479,958 ",Recipient will establish and operate a Temporarily Located Community air monitoring site that will provide the disproportionally overburdened and underserved community of St. James Parish a voice in the monitoring of their air quality. Recipient will deploy air monitoring equipment which will allow for near real-time air quality data availability for certain pollutants and the opportunity for community involvement.
Louisiana Department of Environmental Quality,LA,"$422,246 ","Due to the potential of air pollutant production by wood facilities, the recipient will conduct air quality monitoring in the Alexandria-Pineville area between two wood treating facilities."
Louisiana Environmental Action Network,LA,"$500,000 ",Recipient's LA Community Air Monitoring Network will be assessing air quality at the block level throughout Louisiana’s industrial corridor while expanding air quality literacy in historically underserved communities and identifying actionable strategies to reduce exposure and emissions.
LSU Health Foundation,LA,"$498,480 ","Recipient will develop and evaluate a framework to facilitate sustainable community-led air monitoring campaigns, intergenerational learning and deliberative community engagement to “inpower” communities, preserve a cultural history, enable informed decision-making, and foster strategic political collective action by a culturally significant, yet politically disenfranchised New Orleans neighborhood."
"Berkshire Environmental Action Team, Inc.",MA,"$300,131 ","Recipient will use ten stationary air monitors and five mobile monitors to measure air pollutants throughout locations in Pittsfield, Massachusetts, including environmental justice neighborhoods and near sources of pollution. Monitoring data will be supplemented by a survey of community health conditions, conducted during the monitoring period, to look for correlating increases or decreases in severity."
Berkshire Regional Planning Commission,MA,"$465,589 ","Recipient will expand indoor and outdoor air monitoring opportunities for all Berkshire County residents, especially the County’s most vulnerable populations. Recipient will deploy indoor and outdoor sensors which will be accompanied by extensive community outreach and municipalities and local groups will utilize data to guide regional planning initiatives."
City of New Bedford,MA,"$391,822 ",Recipient will identify disparities relative to health and corresponding air quality among environmental justice communities to inform public policy and realize equitable health outcomes.
Health Resources in Action,MA,"$500,000 ","Recipient will provide funding and air quality sensors to three community and/or faith‐based organizations from separate environmental justice communities, engage them in the Citizen Science EJ Ambassadors’ Learning Community Data, and invite them to participate in various committees. Recipient will create a statewide website which will provide real‐time air quality monitoring data for interested communities."
Mystic River Watershed Association Inc.,MA,"$499,979 ","Recipient will deploy air pollution monitors at community-identified locations, provide actionable data and information to increase community awareness, inform decision-making around transportation infrastructure, and reduce exposures to harmful transportation-related air pollutants. Recipient will also build capacity among residents that have been disproportionately impacted by poor air quality."
"State of Maryland, Maryland Department of the Environment",MD,"$497,861 ","Recipient will identify and implement air pollution exposure and risk reduction measures based on community recommendations and data from multi-pollutant air sensor sites in 3 environmental justice communities. Project outputs include a community partnership steering committee, a technical advisory group, community workforce development, air sensor and data analyses, increased community awareness of air pollution, air pollution monitoring and mitigation, and policy changes."
Asthma & Allergy Foundation of America Michigan Chapter,MI,"$157,308 ","Recipient will enhance Detroit’s ambient air quality network by deploying sixty-two sensors to Detroiters ages 60 and older with respiratory distress/asthma symptoms. Recipients will track ambient outdoor and indoor pollutant data, display sensors’ output on web dashboards, perform analysis, and engage residents on air quality issues, impacts, and interpretation of real-time sensor data and trends."
City of Detroit,MI,"$481,935 ",Recipient will establish the City of Detroit’s first comprehensive city- wide air pollution monitoring network with near-real time reporting. Data collected from the network will be used to educate Detroit’s citizens and policy makers and expand network parameters while targeting areas of highest impact.
Pokagon Band of Potawatomi Indians,MI,"$57,875 ","Recipient will install four air quality sensors to collect real-time air quality data that will be analyzed and shared with tribal citizens.
Detailed information about the air quality on tribal lands will help the
Pokagon Band better assess potential dangers posed by pollutants and take action to mitigate the risk to tribal citizens."
The Green Door Initiative,MI,"$496,700 ","Recipient will expand the existing network of multi-pollutant community- scale sensors in Detroit, engage Detroiters in a community air advisory group to ensure the community has a voice in air monitoring, and build community capacity and knowledge to use and apply local-scale, real- time air quality information. Our project will lead to improvements in local air quality, enhanced local partnerships, and a reduction in disproportionate health impacts that Detroit residents experience."
Wildlife Habitat Council,"MI, IL","$460,000 ","Recipient will collaborate with a wide variety of Great Lakes regional partners to monitor and improve air quality in highly impacted and under resourced neighborhoods of Detroit, MI, and the Calumet watershed of South Chicago, Illinois. This work will expand on community capacity to monitor air quality, quantify the effects of green infrastructure and other nature-based solutions on local air quality, and engage high school and college students in data interpretation to facilitate long term transfer of skills from technical partners to interested residents."
City of Minneapolis,MN,"$411,170 ","Recipient will collaborate with community members from environmental justice neighborhoods, community‐based organizations, residents, and educators to monitor for exposures to pollutants from industrial and residential activities as well as traffic, develop air quality curriculum, outreach materials, and hands on activities with air sensors as well as understanding and interpreting air sensor data, and increase understanding of air pollution sources and strategies to mitigate air pollution in environmental justice communities."
Red Lake Band of Chippewa Indians,MN,"$67,500 ","Recipient will purchase, install, and operate an air quality monitor on the Red Lake Reservation and make near air quality data and alerts available to Red Lake Nation via various websites. Project will strengthen Tribal-State relationships, increase awareness of ground-level ozone in the environment, and reduce human exposure to ozone resulting in improved health."
Mississippi Department of Environmental Quality,MS,"$500,000 ","Recipient will measure concentrations of the air pollutants of greatest concern in the Cherokee Community. Project outcomes include the determination of whether air quality problems exist, the associated level of risk to the community, and opportunities to mitigate such risk including identification of possible sources of elevated concentrations."
Montana Department of Environmental Quality,MT,"$452,871 ","Recipient will improve our statewide air quality monitoring network through the installation of additional stations and sensors in key locations, including in communities where air quality information is not currently available. Project relies on community engagement through partnerships with key organizations that have established ties to rural and tribal populations."
Clean Air Carolina,NC,"$500,000 ","Recipient will establish an air monitoring network in Sampson County to address long-standing health inequities and environmental justice implications caused by cumulative air pollution impacts. Recipient will implement clean air education, technology and advocacy training to facilitate understanding of the data, increasing community agency and empowerment."
Research Triangle Institute,NC,"$499,929 ","Recipient will monitor air pollutants at 20 childcare facilities in underserved areas of central NC by collecting air quality data, provide trainings on equipment use, data interpretation, and recommendations, and donate air quality monitors to enrolled facilities for continued use after the project ends. Project goal is to understand air pollutions adverse health outcomes in underserved childcare settings and to better protect childrens health."
Blue Ridge Environmental Defense League,"NC, GA, TN, SC, VA","$365,368 ",Recipient will purchase air quality monitoring equipment that will be secured on a mobile unit and driven to/parked at strategic locations in the southeastern U.S. where the recipient has confirmed a need for air pollution monitoring. Collected air monitoring data will be used in the recipients ongoing environmental protection campaigns.
Winnebago Tribal Council,NE,"$266,064 ",Recipient will improve capacity to fully address air quality by installing equipment to monitor meteorological conditions and air pollution at various locations. The Tribe will use the data collected to update emission inventory and to better understand ambient air quality issues within the boundaries of the Reservation.
City of Jersey City,NJ,"$465,250 ","Recipient will analyze air quality data against health-based air quality standards and data will be disseminated to citizens to educate them on exposure, health consequences and personal and collective community actions to reduce exposure. Many organizations will be actively engaged in developing policy and programmatic solutions to address adverse air quality and its impacts on health in Jersey City’s underserved communities."
Housing Authority of the City of Elizabeth,NJ,"$500,000 ",Recipient will engage residents to increase community knowledge of air pollution and provide actionable data. The project produces air quality readings from 13 locations utilizing a network of air quality sensors and air quality data will enable the City of Elizabeth to take action and make resources available to increase environmental health and wellness in the city.
New Mexico Environment Department,NM,"$59,633 ","Recipient will complete monitoring of several air pollutants to better understand the specific pollutants present in the region, which may also be responsible for public health impacts. Air quality data will assist in air quality management and developing appropriate control strategies to reduce the emissions of concern and that impact the public’s health and environment and contribute to rising pollution concentrations."
Pueblo de San Ildefonso,NM,"$485,466 ",Recipient will establish an air quality monitoring program to understand air quality risks to our community’s health and welfare. Recipient will install air monitors to measure levels of air pollutants and install a sensor network to monitor dust and smoke concentrations near the Pueblo housing areas. Data will help develop strategies to minimize exposure and protect the health of the community.
Fallon Paiute Shoshone Tribe,NV,"$150,000 ",Recipient will focus on monitoring for multiple air pollutants. Data gathered will not only be valuable to the community but will also portray the severity of the unhealthy air quality as it changes from year to year as the wildfire season only seems to increase in severity.
Fort McDermitt Paiute-Shoshone Tribe,NV,"$493,802 ","Recipients will establish air quality monitoring for the Reservation and invest in staff training and capacity building. Project will address many issues, including air quality pollutants from known sources due to historic mining, wildfires, agriculture and vehicles plus planned and currently permitting mining in the airshed (Quinn River Valley)."
Shoshone Paiute Tribes of Duck Valley,NV,"$99,985 ",Recipients will create its first ever air quality monitoring system on the Reservation. The project will provide air quality data the Tribes need and help to develop policies and practices to preserve or enhance environmental quality on the Reservation.
Washoe County District Health Dept,NV,"$213,204 ","Recipient will support the establishment of a new state and local air monitoring systems in the western portion of Reno, Nevada to fill a spatial gap in the existing air monitoring network. This area is underserved by the existing network and typically experiences the highest air pollution concentrations in Washoe County during interstate transport wildfire smoke episodes."
Onondaga Lake Cleanup Corp,NY,"$465,367 ",Recipients will create a community-based education and outreach campaign that will provide accessible air quality data through a web- based dashboard. Residents and communities can use the information to protect individual and community health and advocate for effective solutions.
Red Hook Initiative,NY,"$500,000 ","Recipient will increase the capacity of the Red Hook community to measure, document, and interpret air quality issues; expand air monitoring through neighborhood-wide analysis and air quality monitors; and build an advocacy agenda to address air quality issues and implement strategies to mitigate environmental harms."
"Research Foundation for the State University of New York, University at Albany",NY,"$499,939 ",Recipient will improve air quality and public health across underserved neighborhoods in New York State by leveraging low-cost sensor monitoring to determine air pollutant exposures and engage and empower community stakeholders. Collected data will help to reduce ambient and indoor air pollution concentrations.
Research Foundation of SUNY Amherst,NY,"$499,963 ","Recipient will deploy low-cost air pollution sensors at sampling sites in the residence of the marginalized African American community in Buffalo and develop a community-specific air quality prediction model by integrating the collected sensor measurements with existing data. Data will be useful to develop interevent adverse health outcomes, particularly for vulnerable population, in the community."
Saint Regis Mohawk Tribe,NY,"$381,729 ",Recipient will deploy a low-cost air quality monitoring network in Akwesasne to address gaps in air pollution monitoring for sources that are of concern to the community. Recipient will work closely with the community to identify sampling locations and use a real-time data dashboard and in person/virtual townhall sessions to disseminate the monitoring results to the community.
SUNY at Albany,NY,"$499,032 ","Recipient will create the NY Capital District communities air quality measurement network,
which will be built based on low-cost sensors outdoor/indoor
measurements, with five community schools as sites and supplemented by mobile lab measurements. Analysis of these measurements will provide air pollution outdoor/indoor exposure estimations and promote policies and practices to improve air quality and health outcomes."
Youth Ministries for Peace and Justice Inc,NY,"$500,000 ","Recipients will partner with multiple organizations to collect air quality data in the vicinity of the Cross Bronx Expressway. This data, along with advocacy and environmental justice trainings, community meetings, and events, will support the redevelopment of the Expressway so that it benefits the South Bronx community."
City of Canton,OH,"$302,775 ","Recipient will work together to identify and quantify pollutants in the communities closest to a Steel Manufacturer in Canton, Ohio. Using monitor technology and sensors, concentrations of target air pollutants will be collected, assessed and shared on a routine and frequent basis. This project will foster a relationship of trust with this overburdened community."
Cleveland Department of Public Health,OH,"$500,000 ","Recipient will expand Cleveland’s air monitoring network into historically redlined Cleveland neighborhoods that are still experiencing negative health outcomes. Project outcomes will include public engagement with marginalized communities, expanded air monitoring networks, increased data/access, and public health interventions."
Groundwork Ohio River Valley,OH,"$482,662 ","Recipient will expand its current air quality education, training, and monitoring programming for youth employees and neighborhood residents on Air Quality Monitoring techniques and air pollution health education. This community-driven monitoring project compiles neighborhood and individual-level air pollutant exposure rates and uses this data to advocate for mitigation efforts."
Mid-Ohio Regional Planning Commission,OH,"$500,000 ",Recipient will focus on underserved communities impacted by emissions from mobile sources including diesel freight traffic and stationary sources through air quality monitoring and modeling tools placed at community sites. Air quality data will identify and understand the distribution and causes of air pollution and create interventions based on disproportionate impacts.
Cherokee Nation,OK,"$69,770 ",Recipient will perform monitoring with low-cost sensors in the vicinity of the Pryor air monitoring site to address a potential concern with elevated air pollution levels emitted from the nearby MidAmerica Industrial Park. Sensor data will be compared against the existing monitors in operation and then can be set up in any community that has a need or used for outreach in local schools as part of the STEM curriculum.
Confederated Tribes of Coos Lower Umpqua & Siuslaw Indians,OR,"$500,000 ","Recipient will increase community engagement on outdoor and indoor air quality and develop a network of air quality monitors. The goal of the project is to improve public health, environmental health and protection of Tribal members and resources, as well as the surrounding communities."
Oregon Department of Environmental Quality,OR,"$498,796 ","Recipient will work with communities, universities, and local and state agencies to co-design an equitable and sustainable community monitoring framework for collaborative action. This framework will be used to empower communities- prioritizing underserved, disadvantaged and overburdened communities- to monitor and leverage the data to inform action that will improve their local air quality."
"Verde
(Application withdrawn)",OR,"$117,830 ","Recipient will collaborate with partners to gather air quality data using air monitors and create actionable community engagement strategies to ameliorate air quality concerns in Portland, Oregon’s Cully neighborhood. Project efforts will result in the development of long-term expertise among the Cully community and unprecedented grassroots involvement in regulatory processes that could significantly improve air quality for Cully residents."
City of Philadelphia,PA,"$389,206 ",Recipient will deploy air monitors at three sites which are located in Environmental Justice (EJ) areas near major emission sources. The project will produce results to fill gaps of monitoring data in these areas and will help in strategizing pollution reductions in overburdened communities.
Clean Air Council,PA,"$419,446 ","Recipient will develop and expand existing community-based air monitoring pilot projects in Environmental Justice communities along the industrialized I-95 corridor in Delaware County and Southwest
Philadelphia, PA."
"Community
Foundation of
Greater Johnstown",PA,"$499,145 ","Recipient will involve community members in the design of monitoring
plans, deployment of monitoring equipment, data collection,
engagement in community data sensemaking, and coordination of
communication and accountability campaigns so that air pollution
conditions and community warning and protection capabilities advance
in the Upper Ohio River Valley."
"CWF HQ DC -
Clean Water Fund",PA,"$340,880 ","Recipient will monitor the changing patterns of the air quality in their community in South Philadelphia. The air measurements will reveal and document the patterns of toxicity, and this data will support and empower their community to advocate for the sovereign right to Environmental Justice and equity."
FracTracker Alliance,PA,"$430,001 ","Recipient will deploy air monitoring equipment to better assess emissions from the increased shale gas industrial buildout and use that data to educate local community members, elected officials and regulators on the need for a cumulative impact analysis requirement as part of all permitting procedures."
"Group Against Smog & Pollution, Inc.",PA,"$499,781 ","Recipient will expand community-owned air monitoring networks to equip residents from across the region with local and accurate estimates of ambient air pollution exposure. Project builds on crowd- sourced odor reporting data from over 1,000 unique individual reporters in the Smell PGH app, and monitoring networks facilitated by  community groups throughout the Southwestern Pennsylvania region."
"JASTECH
Development Services, Inc",PA,"$333,121 ","Recipient will increase awareness of air pollution in targeted Environmental Justice communities of West Philadelphia. With the engagement of community members in the Overbrook/Wynnefield/Mill Creek/ Mantua communities, the ""Breathe Right"" project will monitor five pollutants and analyze several heavy metals."
Pennsylvania Department of Environmental Protection,PA,"$377,443 ","Recipient will install several monitors outside of transportation corridors,
vulnerable populations, and local neighborhoods to gather air quality
data. Project aims to gather critical data to help federal, state, and local
partners identify sources of air pollution, clarify their relative
contributions and develop mitigation strategies to improve health
outcomes for the people who live and work in the Environmental Justice
communities along the waterfront in Delaware County, Pennsylvania."
Pennsylvania Department of Environmental Protection,PA,"$499,870 ","Recipient will partner with Lehigh University and Allentown communities
to understand the air pollutants in neighborhoods and near sources by conducting air monitoring; identify likely sources and community health
concerns; and work with the local community to sustain ongoing
engagement in monitoring and activities that diminish health risks from
air pollution."
